Pattern_Type,AppID_Pattern,Application,Usage,Company,Priority,Data_Source
Like,OLELOAD%,TTU,ETL,Teradata,3844,manual
Like,TPTLOAD%,TTU,ETL,Teradata,3845,manual
Like,MSMDSRV%,MS SSAS,Analytic,Microsoft,3848,manual
Like,PMDESIGN,Informatica,ETL,Informatica,3861,manual
Like,%PYTHON%,Python,Analytic,Open Source,3891,manual
Like,TITAN2_%,unknown,Analytic,Unknown,3900,manual
Equal,ARCMain,TTU,Backup,Teradata,4092,manual
Equal,TPTSTRM,TTU,Stream,Teradata,4095,manual
Equal,OUTLOOK,MS Office,Application,Microsoft,4098,manual
Like,BUSOBJ%,BOBJ,Analytic,SAP,5024,manual
Like,DOTNET%,.NET,Application,Microsoft,5027,manual
Like,%:NET:%,.NET,Application,Microsoft,5028,manual
Like,WINDDI%,Administrator (Deprecated),Analytics,Teradata,5034,manual
Like,KERNEL%,Azure Data Studio,Analytics,Microsoft,5048,manual
Like,BUSOBJ%,Business Objects,Analytics,SAP,5057,manual
Like,CRPROC%,Crystal Reports,Analytics,SAP,5082,manual
Like,DSMAIN%,Data Stream Architecture,Backup-Restore,Teradata,5090,manual
Like,DELMTD%,DELMTD,Application,Unknown,5094,manual
Like,ESSSVR%,Hyperion Essbase,Application,Oracle,5116,manual
Like,MYSQLD%,MySQL,Analytics,MySQL,5164,manual
Like,AGINIT%,Netezza,Analytics,IBM,5166,manual
Like,NVTERA%,NetVault,Backup-Restore,NetVault,5167,manual
Like,PYTHON%,Python,Analytics,Python.org,5194,manual
Like,DTExec%,SQL Server Integration Services (SSIS),ETL,Microsoft,5229,manual
Like,DTSRun%,SQL Server Integration Services (SSIS),ETL,Microsoft,5230,manual
Like,SQLDBX%,SQLDB Explorer,Analytics,Unknown,5233,manual
Like,TPTEXP%,TPT Export,ETL,Teradata,5247,manual
Like,TPTUPD%,TPT Update,ETL,Teradata,5251,manual
Like,VISUAL%,Visual Cut,Analytics,Millet Software,5265,manual
Like,VECOMP%,Visual Explain,Analytics,Teradata,5266,manual
Like,DEVENV%,Visual Studio,Application,Microsoft,5267,manual
Like,WINSQL%,WinSQL,Analytics,WinSQL,5278,manual
Like,TPTUPD%,TTU,ETL,Teradata,5303,manual
Like,DTEXEC%,MS SSIS,ETL,Microsoft,5316,manual
Like,DEVENV%,MS VisualStudio,Application,Microsoft,5320,manual
Like,NVTERA%,NetVault,Backup,Dell,5322,manual
Like,ESSSVR%,Oracle Hyperion Essbase,Application,Oracle,5324,manual
Like,TPTEXP%,TTU,Export,Teradata,5326,manual
Like,VECOMP%,TTU,ETL,Teradata,5327,manual
Like,WINDDI%,TTU,ETL,Teradata,5328,manual
Like,DOTNET%,MS .Net Driver,Application,Microsoft,5352,manual
Like,KERNEL%,Azure Data Studio,Analytic,Microsoft,5365,manual
Equal,DTSRUN,MS SSIS,ETL,Microsoft,6414,manual
Equal,DSMain,TTU,Backup,Teradata,6421,manual
Equal,MYSQLD,MySQL,Analytic,Oracle,6436,manual
Equal,PMDTM ,Informatica,Analytic,Informatica,6439,manual
Equal,RTERM ,R Studio,Analytic,Open Source,6441,manual
Equal,SQLDBX,SQLDB Explorer,Analytic,AngStream,6445,manual
Like,UNICA%,Affininum Campaign,Application,IBM,7364,manual
Like,DIAWP%,Azure Data Studio,Analytics,Microsoft,7377,manual
Like,CLINT%,ClintView,Analytics,ClintWorld,7395,manual
Like,COGTR%,Cognos Business Intelligence,Analytics,IBM,7400,manual
Like,TM1SD%,Cognos Business Intelligence,Analytics,IBM,7402,manual
Like,CRW32%,Crystal Reports,Analytics,SAP,7411,manual
Like,DBVIS%,DBVisualizer,Analytics,DBVis Software,7421,manual
Like,EXCEL%,Excel,Application,Microsoft,7430,manual
Like,HTTPD%,HTTP Daemon,Analytics,Apache,7442,manual
Like,TIWIZ%,Index Wizard (Deprecated),Analytics,Teradata,7446,manual
Like,PMDTM%,Informatica,ETL,Informatica,7448,manual
Like,NPARC%,NPARC (Deprecated),Backup-Restore,Teradata,7497,manual
Like,MSQRY%,Power Query For Excel,Application,Microsoft,7516,manual
Like,UWSGI%,Python,Analytics,Python.org,7523,manual
Like,RTERM%,R Statistical Software,Analytics,Unknown,7528,manual
Like,PB125%,SYBASE,Analytics,SYBASE,7564,manual
Like,TPUMP%,TPump (Deprecated),ETL,Teradata,7580,manual
Like,IISEX%,Visual Studio,Application,Microsoft,7596,manual
Like,IISEX%,MS VisualStudio,Application,Microsoft,7649,manual
Like,BIBUS%,Cognos,Analytic,IBM,7662,manual
Like,COGTR%,Cognos,Analytic,IBM,7663,manual
Like,TM1SD%,Cognos,Analytic,IBM,7664,manual
Like,CRW32%,Crystal Reports,Analytic,SAP,7665,manual
Like,DBVIS%,DbVisualizer,Analytic,Unknown,7666,manual
Like,UWSGI%,Teradata,Unknown,Teradata,7667,manual
Like,TIWIZ%,TTU,ETL,Teradata,7668,manual
Like,UNICA%,Unica,Application,IBM,7669,manual
Like,%PERL%,Perl,Application,Unknown,7673,manual
Like,EXCEL%,MS Office,Analytic,Microsoft,7675,manual
Like,AQTV% ,Advanced Query Tool,Analytic,Cardett Associates,7692,manual
Equal,HTTPD,HTTPD,Application,Open Source,10103,manual
Like,BRIO%,BRIO Query,Analytic,Oracle,11045,manual
Like,BTEQ%,BTEQ,ETL,Teradata,11071,manual
Like,DIAB%,DIAB,Analytics,DIAB Sofware,11115,manual
Like,FEXP%,FastExport (Deprecated),ETL,Teradata,11124,manual
Like,UVSH%,InfoSphere Data Stage,ETL,IBM,11144,manual
Like,W3WP%,Internet Information Services (IIS),Application,Microsoft,11147,manual
Like,JAVA%,JAVA,Application,Oracle,11151,manual
Like,JDBC%,JDBC,Application,Oracle,11152,manual
Like,KRDL%,Kalido MDM,ETL,Magnitude,11161,manual
Like,PERL%,Perl,Application,Perl.org,11197,manual
Like,RGUI%,R Statistical Software,Analytics,Unknown,11220,manual
Like,SQLA%,SQL Assistant (Deprecated),Analytics,Teradata,11234,manual
Like,SSMS%,SQL Server Management Services (SSMS),ETL,Microsoft,11250,manual
Like,TOAD%,TOAD,Analytics,Quest Software,11264,manual
Like,TSET%,TSET,Support,Teradata,11273,manual
Like,SSMS%,MS SQL Server,ETL,Microsoft,11338,manual
Like,ODBC%,ODBC,Analytic,Unknown,11342,manual
Like,PMDTM,Informatica,ETL,Informatica,11349,manual
Like,JDBC%,JDBC,Application,Unknown,11361,manual
Like,JAVA%,JDBC,Application,Unknown,11362,manual
Like,%JMP,JMP,Application,Unknown,11363,manual
Like,TOAD%,Toad,Analytic,Dell,11369,manual
Like,W3WP%,MS IIS,Application,Microsoft,11370,manual
Like,TSET%,TTU,Support,Teradata,11375,manual
Equal,BTEQ,BTEQ,ETL,Teradata,15950,manual
Equal,SQLA,SQLAssistant,Analytic,Teradata,15958,manual
Equal,UVSH,DataStage,ETL,Microsoft,15988,manual
Like,AQT%,Advanced Query Tool,Analytics,AQT,16902,manual
Like,BMT%,Cognos Business Intelligence,Analytics,IBM,16937,manual
Like,OSH%,InfoSphere Data Stage,ETL,IBM,16993,manual
Like,JMP%,JMP Statistical Discovery,Application,SAS,17001,manual
Like,%PL%,Perl,Application,Perl.org,17046,manual
Like,PHP%,PHP Hypertext Preprocessor,Application,PHP,17048,manual
Like,PIH%,PIH,Unknown,Unknown,17049,manual
Like,%PYT,Python,Analytics,Python.org,17057,manual
Like,SAS%,SAS,Analytics,SAS,17073,manual
Like,DUL%,SAS,Analytics,SAS,17075,manual
Like,TSA%,Service Agent,Support,Teradata,17078,manual
Like,CUT%,Visual Cut,Analytics,Millet Software,17131,manual
Like,DTS%,MS SSIS,ETL,Microsoft,17162,manual
Like,DTE%,MS SSIS,ETL,Microsoft,17163,manual
Like,BMT%,Cognos,Analytic,IBM,17226,manual
Like,%PYT,Python,Analytic,Open Source,17227,manual
Like,DUL%,Teradata,Analytic,Teradata,17229,manual
Like,%PL%,Perl,Application,Open Source,17239,manual
Like,OSH%,IBM Data Stage,ETL,IBM,17240,manual
Equal,JMP,JMP,Application,Open Source,25222,manual
Equal,PHP,PHP,Application,Unknown,25224,manual
Equal,SAS,SAS,Analytic,SAS,25226,manual
Like,UTF,Upgrade Testing Framework,Support,Teradata,26399,manual
Equal,R,R Studio,Analytic,Open Source,39941,manual
